Test_Tweet,VaderSent,NaiveBayes_VaderSent,LogisticReg_VaderSent,RandomForest_VaderSent
extraction good old clean action movie steroid 👍 netflix,Positive,Positive,Positive,Positive
watching movie sometimes annoying netflix seem find good movie,Positive,Positive,Positive,Positive
good movie netflix,Positive,Positive,Positive,Positive
madea homecoming good axx movie …… laughin dam hard 😭😭😭😩😩😩😩🔥🔥🔥🔥👌🏽netflix,Negative,Positive,Positive,Positive
watched robin williams movie world greatest dad shocked irony good watch netflix,Positive,Positive,Positive,Positive
extraction good movie mustwatch netflix,Positive,Positive,Positive,Positive
outpost good movie watch netflix,Positive,Positive,Positive,Positive
watching tom hank mr rogers movie seems like good way take mind world right tomhanks coronavirus peace beautiful covid19 netflix,Positive,Positive,Positive,Positive
watched loved great holiday feel good movie recommend highly stacyburkeapproved moviereview lovehard netflix christmasfilm,Positive,Positive,Positive,Positive
kindof name spork halets see good moviesounds interesting netflix,Positive,Positive,Positive,Positive
samekindofdifferentasme netflix good movie,Positive,Positive,Positive,Positive
3rd really good film good movie night ha alongcameaspider netflix movie,Positive,Positive,Positive,Positive
good as movie higherlearning netflix,Positive,Positive,Positive,Positive
get hubie speak way overall thought cute movie pg13 audience ton name silly good message end tshirts loved netflix hubiehalloween,Positive,Positive,Positive,Positive
mosul good movie netflix netflix,Positive,Positive,Positive,Positive
help want funny really good movie watch netflix recs anyone,Positive,Positive,Positive,Positive
seen movie fr deal cried first saw part tho 😂😂😂😂😂😂😂 king netflix funny lol nashville movie music goodmovie jesseabitch,Positive,Positive,Positive,Positive
breakingbad movie elcamino earns rave review boost netflix nflx stock reported businessnews entertainment,Positive,Positive,Positive,Negative
good movie watch netflix turned tv bum,Positive,Positive,Positive,Positive
cadaver good story would better choice survival 610 paavakadhaigal good watched first two cried eye first nobody deserves treated 710 netflix movie,Positive,Positive,Positive,Positive
classic bit film noir thestranger netflix pick day also primevideo there many good movie prime ill trow bone netflix,Positive,Positive,Positive,Positive
windriver damn good movie starring hawkeye scarlet witch wish would watched soon netflix,Positive,Positive,Positive,Positive
movie pretty good netflix getglue videogirl,Positive,Positive,Positive,Positive
good movieshow netflix go,Positive,Positive,Positive,Positive
uncutgems deserves name 3045 min movie could easily cut 1st hour noisy confusing adamsandler good playing annoying protagonist could better netflix,Positive,Positive,Positive,Positive
ohh goodness 😝 ❤️ thank much like 👍 cathyang overthemoon netflix ⁦⁩ ⁦⁩ wonderful family movie watch amp yes good cry childhood dream seriously 😉 must watch film 🎥✊👊❤️,Positive,Positive,Positive,Positive
love good movie check top 10 film 2015 netflix movienight,Positive,Positive,Positive,Positive
nice story good screenplay action peak sentence say brother movie deep love other😊😃🥰🥰 red rampothineni netflix,Positive,Positive,Positive,Positive
okie liked movie feel good rom com netflix meenakshisundareshwar,Positive,Positive,Positive,Positive
cold fly take care hoh amp netflix business amp good olé nyc music amp fun godbless tv hustle noquit netflix sony 818 film documentary series movie jfk john f…,Positive,Positive,Positive,Positive
anyone recommend good horror movie netflix,Positive,Positive,Positive,Positive
free movie preview weekend watching breakingbad netflix lol good thing dvr empty record movie want,Positive,Positive,Positive,Positive
good show movie watch platform primevideo netflix hulu hbomax movie tvshows,Positive,Positive,Positive,Positive
ana de armas 👏🏻👏🏻👏🏻🥂 expecting great movie congratulation 3 whole team greyman netflix mustwatch christopher bit good bad guy cupcake lol 🤭🤣,Positive,Positive,Positive,Positive
need good movie tonight celebrate american hero available netflix amazon amp itunes,Positive,Positive,Positive,Positive
old af fresh good movie netflix,Positive,Positive,Positive,Positive
enjoyed fatherhood netflix knew would enjoy know much would enjoy movie make feel 😊 good miss dad glad got feel good father day weekend fatherhoodnetflix,Positive,Positive,Positive,Positive
omg bright soooo good 👏🏾👏🏾👏🏾 idk people confused def second movie wait love netflix willsmith,Positive,Positive,Positive,Positive
netflix mike epps corney stand good movie someone else directing,Positive,Positive,Positive,Positive
dude new movie netflix actually really good,Positive,Positive,Positive,Positive
another terrific netflix originalmovie debut new filmmaker matt palmer awesome job mucking road trip calibrefilm jack lowden amp tony curran incredible felt like bad thing river wild simple plan amp theritual goodmovie,Positive,Positive,Positive,Positive
belowzero movie good netflix,Positive,Positive,Positive,Positive
super snobby pretentious comment god dammit well placed surround sound good elevate fucking tv show sporting event movie — watching also super pro subtitle oh said drive safe ozark netflix,Positive,Positive,Positive,Positive
daydreamnation pretty good movie weird good netflix,Positive,Positive,Positive,Positive
