title,media,date,datetime,desc,link
Kandyse McClure Cast in Netflix’s Virgin River Season 5,What's on Netflix,6 mins ago,,"Filming on Virgin River season 5 has been ongoing since the summer, and the 
show has made several new castings, including Kandyse McClure, What's on 
Netflix...",https://www.whats-on-netflix.com/news/virgin-river-season-5-casts-kandyse-mcclure/
"Netflixs ‘The Crown ‘shouldve ended earlier, slams royal expert",Geo.tv,1 mins ago,,"Netflix's hit royal drama The Crown should've 'ended earlier', a royal 
expert has suggested.",https://www.geo.tv/latest/448158-netflixs-the-crown-shouldve-ended-earlier-slams-royal-expert
NAU professor featured in Netflix documentary on anthrax attacks,KNAU,3 mins ago,,"A new Netflix documentary tells the story of the letters laced with anthrax 
that were sent through the U.S. mail just after the 9/11 attacks in 2001.",https://www.knau.org/knau-and-arizona-news/2022-10-24/nau-professor-featured-in-netflix-documentary-on-anthrax-attacks
Here are Netflixs 5 best upcoming series in November 2022,Geo.tv,4 mins ago,,"From comedies, mysteries and spooky shows, here are some Netflix series to 
be excited for in November.",https://www.geo.tv/latest/448183-here-are-5-best-upcoming-series-in-november-2022
This Morning's Holly Willoughby 'refuses to watch' Netflix true crime series The Watcher,Chronicle Live,3 mins ago,,"Netflix series The Watcher was discussed on Monday's This Morning with 
Holly Willoughby making her feelings on it very clear.",https://www.chroniclelive.co.uk/news/tv/holly-willoughby-this-morning-watcher-25339502
Breaking Bad's Dean Norris to star alongside Taron Egerton in new Netflix thriller,Far Out Magazine,7 mins ago,,"Dean Norris, best known for his role in the hit TV series Breaking Bad, is 
set to appear in a new Netflix thriller called 'Carry On'.",https://faroutmagazine.co.uk/breaking-bads-dean-norris-new-netflix-thriller/
Friend of Princess Diana brands Netflix's The Crown ‘sadistic’ for recreating her final hours,Chronicle Live,2 mins ago,,"A close friend of Princess Diana has branded Netflix series The Crown 
'cruel, sadistic and wicked' for its portrayal of the late royal's life.",https://www.chroniclelive.co.uk/news/tv/princess-diana-netflix-crown-sadistic-25337945
The true story behind Netflix's heartbreaking series From Scratch,Yahoo Life UK,1 hour ago,2022-10-24 12:33:02.901007,"Netflix series From Scratch is the platform's latest heartbreaking release. 
But is From Scratch based on a true story, and who are the real characters?",https://uk.style.yahoo.com/true-story-behind-netflixs-heartbreaking-102500248.html
"Halloween thrills and The White Lotus returns: Here’s what to stream on Netflix, Crave and more this week",The Toronto Star,1 hour ago,2022-10-24 12:33:02.921040,"Plus a reality show on mixology, Louis Armstrong and crosswords fight for 
inclusivity.",https://www.thestar.com/entertainment/television/2022/10/24/halloween-thrills-and-the-white-lotus-returns-heres-what-to-stream-on-netflix-crave-and-more-this-week.html
"Elena Ferrante‘s ‘The Lying Life of Adults’ Gets Netflix Streaming Date, Provocative Poster Art Revealed – Global Bulletin",Yahoo,1 hour ago,2022-10-24 12:33:02.941039,"DATE Netflix has revealed the launch date of its Elena Ferrante adaptation 
“The Lying Life of Adults” and released a provocative poster and teaser art 
for...",https://www.yahoo.com/entertainment/elena-ferrante-lying-life-adults-100105112.html
